case_id,case_group,pair_id,lane,classification,provider_fallback,groq_call_attempted,http_status,families,query,expected_state,actual_state,expected_rto_contains,actual_rto,expected_from,actual_from,expected_to,actual_to,expected_fuel_segment,actual_fuel_segment,expected_fuel_type,actual_fuel_type,expected_selected_fuel_types,actual_selected_fuel_types,expected_vehicle_categories,actual_vehicle_categories,expected_vehicle_classes,actual_vehicle_classes,expected_norms,actual_norms,filter_mismatches,data_issues,warnings,data_status,summary_total,row_count
Q025,coverage,P08,rules,pass,false,false,200,geography|rto|date|class,Show motor car registrations at MH-12 RTO during January 2025.,Maharashtra,Maharashtra,MH-12,PUNE - MH12( 25-JAN-2017 ),2025-01,2025-01,2025-01,2025-01,,,,,,,,,MOTOR CAR,MOTOR CAR,,,,,Resolved MH-12 to PUNE - MH12( 25-JAN-2017 ) using the VAHAN RTO catalog.,missing,0,0
Q026,coverage,,rules,filter_mismatch,false,false,200,geography|rto|date|fuel,Show diesel registrations at DL-01 RTO during February 2025.,Delhi,,DL-01,,2025-02,2025-02,2025-02,2025-02,NON_EV,NON_EV,DIESEL,DIESEL,DIESEL,DIESEL,,,,,,,"state:""Delhi""=>""""|rto:""contains DL-01""=>""""",missing_months_not_reported:2025-02,"Could not resolve location ""DL-1"" from loaded data.",complete,0,0
Q027,coverage,,rules,filter_mismatch,false,false,200,geography|rto|date|fuel,Show EV registrations at KA-01 RTO during March 2025.,Karnataka,,KA-01,,2025-03,2025-03,2025-03,2025-03,EV,EV,,,ELECTRIC(BOV)|PURE EV,ELECTRIC(BOV)|PURE EV,,,,,,,"state:""Karnataka""=>""""|rto:""contains KA-01""=>""""",missing_months_not_reported:2025-03,"Could not resolve location ""KA-1"" from loaded data.",complete,0,0
Q028,coverage,,rules,filter_mismatch,false,false,200,geography|rto|date|category,Show two wheeler registrations at TN-01 RTO during April 2025.,Tamil Nadu,,TN-01,,2025-04,2025-04,2025-04,2025-04,,,,,,,TWO WHEELER(NT)|TWO WHEELER(T),TWO WHEELER(NT)|TWO WHEELER(T),,,,,"state:""Tamil Nadu""=>""""|rto:""contains TN-01""=>""""",missing_months_not_reported:2025-04,"Could not resolve location ""TN-1"" from loaded data.",complete,0,0
Q029,coverage,,rules,pass,false,false,200,geography|rto|date|norm,Show BS VI registrations at UP-16 RTO during May 2025.,Uttar Pradesh,Uttar Pradesh,UP-16,Noida - UP16( 13-NOV-2017 ),2025-05,2025-05,2025-05,2025-05,,,,,,,,,,,BHARAT STAGE VI,BHARAT STAGE VI,,,Semantic filter confidence is medium/low. Review the interpreted filters before using the result.|Resolved UP-16 to Noida - UP16( 13-NOV-2017 ) using the VAHAN RTO catalog.,missing,0,0
Q030,coverage,P10,rules,filter_mismatch,false,false,200,geography|date|fuel|category|norm,Show BS IV CNG three wheeler registrations in Gujarat during June 2025.,Gujarat,Gujarat,,,2025-06,2025-06,2025-06,2025-06,NON_EV,NON_EV,CNG,CNG,CNG ONLY,CNG ONLY,THREE WHEELER(NT)|THREE WHEELER(T),THREE WHEELER(NT)|THREE WHEELER(T),,,BHARAT STAGE IV,BHARAT STAGE IV,"paraphrase_pair:""identical filters""=>""differs in P10""",,,missing,0,0
Q031,spelling_shorthand,P09,rules,filter_mismatch,false,false,200,spelling|geography|date|fuel|category|norm,Show EV 4w BS6 registrations in Maharastra during January 2025.,Maharashtra,Maharashtra,,,2025-01,2025-01,2025-01,2025-01,EV,EV,,,ELECTRIC(BOV)|PURE EV,ELECTRIC(BOV)|PURE EV,LIGHT MOTOR VEHICLE|LIGHT PASSENGER VEHICLE,LIGHT MOTOR VEHICLE|LIGHT PASSENGER VEHICLE,,,BHARAT STAGE VI,,"norms:[""BHARAT STAGE VI""]=>[]|selectedNorms:[""BHARAT STAGE VI""]=>[]|paraphrase_pair:""identical filters""=>""differs in P09""",missing_months_not_reported:2025-01,"Could not resolve location ""BS-6"" from loaded data.",complete,0,0
Q032,spelling_shorthand,,rules,pass,false,false,200,spelling|geography|date|fuel|category,Show diesel 2w registrations in Gujrat during February 2025.,Gujarat,Gujarat,,,2025-02,2025-02,2025-02,2025-02,NON_EV,NON_EV,DIESEL,DIESEL,DIESEL,DIESEL,TWO WHEELER(NT)|TWO WHEELER(T),TWO WHEELER(NT)|TWO WHEELER(T),,,,,,,,missing,0,0
Q033,spelling_shorthand,,rules,pass,false,false,200,shorthand|geography|date|fuel|category,Show CNG 3w registrations in UP during March 2025.,Uttar Pradesh,Uttar Pradesh,,,2025-03,2025-03,2025-03,2025-03,NON_EV,NON_EV,CNG,CNG,CNG ONLY,CNG ONLY,THREE WHEELER(NT)|THREE WHEELER(T),THREE WHEELER(NT)|THREE WHEELER(T),,,,,,,,missing,0,0
Q034,spelling_shorthand,,rules,pass,false,false,200,spelling|geography|date|fuel|category,Show petrol LMV registrations in Karnatak during April 2025.,Karnataka,Karnataka,,,2025-04,2025-04,2025-04,2025-04,NON_EV,NON_EV,PETROL,PETROL,PETROL,PETROL,LIGHT MOTOR VEHICLE,LIGHT MOTOR VEHICLE,,,,,,,,missing,0,0
Q035,spelling_shorthand,,rules,pass,false,false,200,spelling|geography|date|fuel|category,Show diesel HMV registrations in Rajsthan during May 2025.,Rajasthan,Rajasthan,,,2025-05,2025-05,2025-05,2025-05,NON_EV,NON_EV,DIESEL,DIESEL,DIESEL,DIESEL,HEAVY MOTOR VEHICLE,HEAVY MOTOR VEHICLE,,,,,,,,missing,0,0
Q036,spelling_shorthand,P11,rules,pass,false,false,200,shorthand|geography|date|fuel|class,Show BOV motor car registrations in Delhi during June 2025.,Delhi,Delhi,,,2025-06,2025-06,2025-06,2025-06,EV,EV,,,ELECTRIC(BOV)|PURE EV,ELECTRIC(BOV)|PURE EV,,,MOTOR CAR,MOTOR CAR,,,,,,missing,0,0
Q037,spelling_shorthand,,rules,pass,false,false,200,shorthand|geography|date|fuel|class,Show E20 petrol motor car registrations in Maharashtra during July 2025.,Maharashtra,Maharashtra,,,2025-07,2025-07,2025-07,2025-07,NON_EV,NON_EV,PETROL(E20),PETROL(E20),PETROL(E20),PETROL(E20),,,MOTOR CAR,MOTOR CAR,,,,,,missing,0,0
Q038,spelling_shorthand,,rules,pass,false,false,200,shorthand|geography|date|fuel|class,Show PHEV motor car registrations in Karnataka during August 2025.,Karnataka,Karnataka,,,2025-08,2025-08,2025-08,2025-08,,,PLUG-IN HYBRID EV,PLUG-IN HYBRID EV,PLUG-IN HYBRID EV,PLUG-IN HYBRID EV,,,MOTOR CAR,MOTOR CAR,,,,,,missing,0,0
Q039,spelling_shorthand,,rules,pass,false,false,200,shorthand|geography|date|category,Show 2w NT registrations in Delhi during September 2025.,Delhi,Delhi,,,2025-09,2025-09,2025-09,2025-09,,,,,,,TWO WHEELER(NT),TWO WHEELER(NT),,,,,,,,missing,0,0
Q040,spelling_shorthand,,rules,filter_mismatch,false,false,200,shorthand|spelling|geography|date|class|norm,Show BS6 erickshaw passenger registrations in Delhi during October 2025.,Delhi,Delhi,,,2025-10,2025-10,2025-10,2025-10,,,,,,,,,E-RICKSHAW(P),E-RICKSHAW(P),BHARAT STAGE VI,,"norms:[""BHARAT STAGE VI""]=>[]|selectedNorms:[""BHARAT STAGE VI""]=>[]",missing_months_not_reported:2025-10,"Could not resolve location ""BS-6"" from loaded data.",complete,0,0
Q041,paraphrase,P01,rules,pass,false,false,200,paraphrase|geography|date,"For Maharashtra, give the registration total for vehicles in Jan 2025.",Maharashtra,Maharashtra,,,2025-01,2025-01,2025-01,2025-01,,,,,,,,,,,,,,,,complete,289729,22
Q042,paraphrase,P02,rules,pass,false,false,200,paraphrase|geography|date|fuel,How many diesel vehicles were registered in Karnataka in Apr 2024?,Karnataka,Karnataka,,,2024-04,2024-04,2024-04,2024-04,NON_EV,NON_EV,DIESEL,DIESEL,DIESEL,DIESEL,,,,,,,,,,missing,0,0
Q043,paraphrase,P03,rules,pass,false,false,200,paraphrase|geography|date|fuel,Give Uttar Pradesh electric vehicle registrations for Jun 2024.,Uttar Pradesh,Uttar Pradesh,,,2024-06,2024-06,2024-06,2024-06,EV,EV,,,ELECTRIC(BOV)|PURE EV,ELECTRIC(BOV)|PURE EV,,,,,,,,,,missing,0,0
Q044,paraphrase,P04,rules,filter_mismatch,false,false,200,paraphrase|geography|date|category,"In Bihar, what was the two-wheeler registration total for Oct 2024?",Bihar,Bihar,,,2024-10,2024-10,2024-10,2024-10,,,,,,,TWO WHEELER(NT)|TWO WHEELER(T),TWO WHEELER(NT),,,,,"vehicleCategories:[""TWO WHEELER(NT)"",""TWO WHEELER(T)""]=>[""TWO WHEELER(NT)""]|selectedVehicleCategories:[""TWO WHEELER(NT)"",""TWO WHEELER(T)""]=>[""TWO WHEELER(NT)""]|paraphrase_pair:""identical filters""=>""differs in P04""",,,missing,0,0
Q045,paraphrase,P05,rules,pass,false,false,200,paraphrase|geography|date|class,Return Assam motor-car registrations for Mar 2025.,Assam,Assam,,,2025-03,2025-03,2025-03,2025-03,,,,,,,,,MOTOR CAR,MOTOR CAR,,,,,,missing,0,0
Q046,paraphrase,P06,rules,pass,false,false,200,paraphrase|geography|date|norm,Give Chandigarh Bharat Stage 6 vehicle registrations for Aug 2025.,Chandigarh,Chandigarh,,,2025-08,2025-08,2025-08,2025-08,,,,,,,,,,,BHARAT STAGE VI,BHARAT STAGE VI,,,Semantic filter confidence is medium/low. Review the interpreted filters before using the result.,missing,0,0
Q047,paraphrase,P07,rules,filter_mismatch,false,false,200,paraphrase|geography|date|fuel|class|norm,"For Nov 2025 in Delhi, total BS6 diesel motor cars registered.",Delhi,Delhi,,,2025-11,2025-11,2025-11,2025-11,NON_EV,NON_EV,DIESEL,DIESEL,DIESEL,DIESEL,,,MOTOR CAR,MOTOR CAR,BHARAT STAGE VI,,"norms:[""BHARAT STAGE VI""]=>[]|selectedNorms:[""BHARAT STAGE VI""]=>[]|paraphrase_pair:""identical filters""=>""differs in P07""",missing_months_not_reported:2025-11|paraphrase_pair_result_mismatch:P07,"Could not resolve location ""BS-6"" from loaded data.",complete,0,0
Q048,paraphrase,P08,rules,pass,false,false,200,paraphrase|geography|rto|date|class,"At RTO MH 12, return Jan 2025 motor-car registrations.",Maharashtra,Maharashtra,MH-12,PUNE - MH12( 25-JAN-2017 ),2025-01,2025-01,2025-01,2025-01,,,,,,,,,MOTOR CAR,MOTOR CAR,,,,,Resolved MH-12 to PUNE - MH12( 25-JAN-2017 ) using the VAHAN RTO catalog.,missing,0,0
Q049,paraphrase,P09,rules,filter_mismatch,false,false,200,paraphrase|geography|date|fuel|category|norm,Show Maharashtra electric four-wheeler Bharat Stage VI registrations for Jan 2025.,Maharashtra,Maharashtra,,,2025-01,2025-01,2025-01,2025-01,EV,EV,,,ELECTRIC(BOV)|PURE EV,ELECTRIC(BOV)|PURE EV,LIGHT MOTOR VEHICLE|LIGHT PASSENGER VEHICLE,LIGHT MOTOR VEHICLE,,,BHARAT STAGE VI,BHARAT STAGE VI,"vehicleCategories:[""LIGHT MOTOR VEHICLE"",""LIGHT PASSENGER VEHICLE""]=>[""LIGHT MOTOR VEHICLE""]|selectedVehicleCategories:[""LIGHT MOTOR VEHICLE"",""LIGHT PASSENGER VEHICLE""]=>[""LIGHT MOTOR VEHICLE""]|paraphrase_pair:""identical filters""=>""differs in P09""",,,missing,0,0
Q050,paraphrase,P10,rules,filter_mismatch,false,false,200,paraphrase|geography|date|fuel|category|norm,"For Gujarat in Jun 2025, return CNG BS4 three-wheeler registrations.",Gujarat,Gujarat,,,2025-06,2025-06,2025-06,2025-06,NON_EV,NON_EV,CNG,CNG,CNG ONLY,CNG ONLY,THREE WHEELER(NT)|THREE WHEELER(T),THREE WHEELER(NT),,,BHARAT STAGE IV,,"vehicleCategories:[""THREE WHEELER(NT)"",""THREE WHEELER(T)""]=>[""THREE WHEELER(NT)""]|selectedVehicleCategories:[""THREE WHEELER(NT)"",""THREE WHEELER(T)""]=>[""THREE WHEELER(NT)""]|norms:[""BHARAT STAGE IV""]=>[]|selectedNorms:[""BHARAT STAGE IV""]=>[]|paraphrase_pair:""identical filters""=>""differs in P10""",missing_months_not_reported:2025-06,"Could not resolve location ""BS-4"" from loaded data.",complete,0,0
